,step,mx,final,xy
316,100,10,-516.0,"(26736.0, 4145.0)"
317,100,10,-526.0,"(27353.0, 4145.0)"
318,100,10,-485.0,"(25537.0, 5728.0)"
319,100,10,-492.0,"(26736.0, 4145.0)"
320,100,15,-711.0,"(22735.0, 5314.0)"
321,100,15,-715.0,"(24210.0, 5955.0)"
322,100,15,-697.0,"(27353.0, 4145.0)"
323,100,15,-718.0,"(24210.0, 5955.0)"
324,100,15,-683.0,"(25537.0, 6035.0)"
325,100,15,-693.0,"(25537.0, 5728.0)"
326,100,15,-676.0,"(27353.0, 4145.0)"
327,100,15,-687.0,"(26736.0, 4145.0)"
328,100,15,-726.0,"(24210.0, 5955.0)"
329,100,15,-728.0,"(25537.0, 5728.0)"
330,100,20,-992.0,"(25537.0, 6035.0)"
331,100,20,-971.0,"(25537.0, 5728.0)"
332,100,20,-1023.0,"(25537.0, 4145.0)"
333,100,20,-1009.0,"(24210.0, 5955.0)"
334,100,20,-985.0,"(24210.0, 5955.0)"
335,100,20,-976.0,"(25537.0, 5728.0)"
336,100,20,-1002.0,"(25537.0, 4145.0)"
337,100,20,-996.0,"(25537.0, 5728.0)"
338,100,20,-976.0,"(27353.0, 4145.0)"
339,100,20,-1015.0,"(25537.0, 6035.0)"
340,100,50,-2514.0,"(27353.0, 4145.0)"
341,100,50,-2505.0,"(22735.0, 5314.0)"
342,100,50,-2496.0,"(24210.0, 5955.0)"
343,100,50,-2495.0,"(26736.0, 4145.0)"
344,100,50,-2522.0,"(24210.0, 5955.0)"
345,100,50,-2493.0,"(24210.0, 5955.0)"
346,100,50,-2522.0,"(24210.0, 5955.0)"
347,100,50,-2527.0,"(24210.0, 5955.0)"
348,100,50,-2530.0,"(26736.0, 4145.0)"
349,100,50,-2529.0,"(25537.0, 6035.0)"
