,z,xy,focus,file,brenner,range,entropy,sobel,variance,power,nz
50,9292.0,"(25537.0, 6035.0)",9371.0,D:\WorkDrive\Images\FL\009292z_025537x_006035y_093706F.tiff,19842454.0,147991.0,5.505463706877492,-50475852.0,918.1069690575482,2853404436.0,-79.0
51,9293.0,"(25537.0, 4145.0)",9383.0,D:\WorkDrive\Images\FL\009293z_025537x_004145y_093834F.tiff,26907626.0,52208.0,6.215291906598314,-3375056136.0,525.7291102246026,2036125279.0,-90.0
52,9293.0,"(26736.0, 4145.0)",9369.0,D:\WorkDrive\Images\FL\009293z_026736x_004145y_093692F.tiff,27556850.0,52545.0,6.53697043756627,-2192506640.0,915.2769200347298,570435211.0,-76.0
53,9293.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009293z_027353x_004145y_093672F.tiff,16567638.0,151981.0,4.959459464390037,-861626892.0,169.50648176587234,4255119215.0,-74.0
54,9294.0,"(25537.0, 5728.0)",9373.0,D:\WorkDrive\Images\FL\009294z_025537x_005728y_093729F.tiff,22000312.0,157427.0,5.327746107459408,4474932.0,571.1775392853347,2512338999.0,-79.0
55,9294.0,"(25537.0, 6035.0)",9371.0,D:\WorkDrive\Images\FL\009294z_025537x_006035y_093706F.tiff,19978542.0,150559.0,5.492905867408962,-982896916.0,940.4017973084001,2791500944.0,-77.0
56,9295.0,"(24210.0, 5955.0)",9380.0,D:\WorkDrive\Images\FL\009295z_024210x_005955y_093797F.tiff,27951442.0,44587.0,6.583131798383005,606471840.0,995.8926718821292,501846367.0,-85.0
57,9295.0,"(25537.0, 4145.0)",9383.0,D:\WorkDrive\Images\FL\009295z_025537x_004145y_093834F.tiff,26847928.0,54331.0,6.219698050795098,-481012484.0,540.4479982959353,2034385216.0,-88.0
58,9295.0,"(26736.0, 4145.0)",9369.0,D:\WorkDrive\Images\FL\009295z_026736x_004145y_093692F.tiff,27799224.0,54713.0,6.5410636567630975,1535522868.0,942.0841842489751,647390165.0,-74.0
59,9295.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009295z_027353x_004145y_093672F.tiff,16453702.0,155056.0,4.942136814546389,-2014726716.0,173.61971014805664,4232102380.0,-72.0
60,9296.0,"(25537.0, 5728.0)",9373.0,D:\WorkDrive\Images\FL\009296z_025537x_005728y_093729F.tiff,22055686.0,161577.0,5.297004653316945,3849315264.0,585.1601541319056,2452952931.0,-77.0
61,9296.0,"(25537.0, 6035.0)",9371.0,D:\WorkDrive\Images\FL\009296z_025537x_006035y_093706F.tiff,20094936.0,152115.0,5.474296992728047,3632573940.0,967.0225560040694,2808141917.0,-75.0
62,9297.0,"(24210.0, 5955.0)",9380.0,D:\WorkDrive\Images\FL\009297z_024210x_005955y_093797F.tiff,28128370.0,47508.0,6.584687050921696,-1571992280.0,1028.1727156989755,453863372.0,-83.0
63,9297.0,"(25537.0, 4145.0)",9383.0,D:\WorkDrive\Images\FL\009297z_025537x_004145y_093834F.tiff,26835960.0,57254.0,6.232388763695434,-795294416.0,568.8363733394973,2092313863.0,-86.0
64,9297.0,"(26736.0, 4145.0)",9369.0,D:\WorkDrive\Images\FL\009297z_026736x_004145y_093692F.tiff,27802236.0,57259.0,6.5447373479880735,1631617848.0,980.1270579914652,700755573.0,-72.0
65,9297.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009297z_027353x_004145y_093672F.tiff,16460444.0,160662.0,4.926288130460584,-974570688.0,179.57502493802028,4277050799.0,-70.0
66,9298.0,"(22735.0, 5314.0)",9399.0,D:\WorkDrive\Images\FL\009298z_022735x_005314y_093987F.tiff,19204040.0,139731.0,5.54016877245772,2717249412.0,533.062361943605,2891151220.0,-101.0
67,9298.0,"(25537.0, 5728.0)",9373.0,D:\WorkDrive\Images\FL\009298z_025537x_005728y_093729F.tiff,22032750.0,166182.0,5.26506088388207,4119118936.0,606.0916833036114,2483492328.0,-75.0
68,9298.0,"(25537.0, 6035.0)",9371.0,D:\WorkDrive\Images\FL\009298z_025537x_006035y_093706F.tiff,19988338.0,156964.0,5.444719416070231,1542945216.0,977.6381897622213,2732454626.0,-73.0
69,9299.0,"(25537.0, 4145.0)",9383.0,D:\WorkDrive\Images\FL\009299z_025537x_004145y_093834F.tiff,26967574.0,61197.0,6.236625756616909,-1690824600.0,592.8131622897114,2128078493.0,-84.0
70,9299.0,"(26736.0, 4145.0)",9369.0,D:\WorkDrive\Images\FL\009299z_026736x_004145y_093692F.tiff,28047882.0,59996.0,6.541849578615157,-660759716.0,1010.627762698321,703087599.0,-70.0
71,9299.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009299z_027353x_004145y_093672F.tiff,16414068.0,163516.0,4.906422411237732,-1886952324.0,185.3092755286061,4247463756.0,-68.0
72,9300.0,"(22735.0, 5314.0)",9399.0,D:\WorkDrive\Images\FL\009300z_022735x_005314y_093987F.tiff,19212628.0,141001.0,5.522798816900266,2768607292.0,547.0910400731951,2861633440.0,-99.0
73,9300.0,"(25537.0, 5728.0)",9373.0,D:\WorkDrive\Images\FL\009300z_025537x_005728y_093729F.tiff,22305210.0,170258.0,5.235483883419256,-3419295056.0,636.8467988046435,2506211642.0,-73.0
74,9300.0,"(25537.0, 6035.0)",9371.0,D:\WorkDrive\Images\FL\009300z_025537x_006035y_093706F.tiff,20010248.0,160207.0,5.421854691034783,645519272.0,1009.9228343860609,2726745215.0,-71.0
75,9301.0,"(24210.0, 5955.0)",9380.0,D:\WorkDrive\Images\FL\009301z_024210x_005955y_093797F.tiff,28235326.0,53434.0,6.58688389169384,-1863243708.0,1099.7432145562368,334349199.0,-79.0
76,9301.0,"(25537.0, 4145.0)",9383.0,D:\WorkDrive\Images\FL\009301z_025537x_004145y_093834F.tiff,26809784.0,64485.0,6.239130717456477,-2026536560.0,617.8487664379234,2215204757.0,-82.0
